service_id,date,exception_type
B20140608WKD_N,20150819,2
B20140608WKD_N,20150820,2
B20140608WKD_N,20150821,2
B20140608WKD_N,20150824,2
B20140608WKD_N,20150825,2
B20140608WKD_N,20150826,2
B20140608WKD_N,20150827,2
B20140608WKD_N,20150828,2
B20140608WKD_N,20150831,2
B20140608WKD_N,20150901,2
B20140608WKD_N,20150902,2
B20140608WKD_N,20150903,2
B20140608WKD_N,20150904,2
B20140608WKD_N,20150907,2
B20140608WKD_N,20150908,2
B20140608WKD_N,20150909,2
B20140608WKD_N,20150910,2
B20140608WKD_N,20150911,2
B20140608WKD_N,20150914,2
B20140608WKD_N,20150915,2
B20140608WKD_N,20150916,2
B20140608WKD_N,20150917,2
B20140608WKD_N,20150918,2
B20140608WKD_N,20150921,2
B20140608WKD_N,20150922,2
B20140608WKD_N,20150923,2
B20140608WKD_N,20150924,2
B20140608WKD_N,20150925,2
B20140608WKD_N,20150928,2
B20140608WKD_N,20150929,2
B20140608WKD_N,20150930,2
B20140608WKD_N,20151001,2
B20140608WKD_N,20151002,2
B20140608WKD_N,20151005,2
B20140608WKD_N,20151006,2
B20140608WKD_N,20151007,2
B20140608WKD_N,20151008,2
B20140608WKD_N,20151009,2
B20140608WKD_N,20151012,2
B20140608WKD_N,20151013,2
B20140608WKD_N,20151014,2
B20140608WKD_N,20151015,2
B20140608WKD_N,20151016,2
B20140608WKD_N,20151019,2
B20140608WKD_N,20151020,2
B20140608WKD_N,20151021,2
B20140608WKD_N,20151022,2
B20140608WKD_N,20151023,2
B20140608WKD_N,20151026,2
B20140608WKD_N,20151027,2
B20140608WKD_N,20151028,2
B20140608WKD_N,20151029,2
B20140608WKD_N,20151030,2
B20140608WKD_N,20151102,2
B20140608WKD_N,20151103,2
B20140608WKD_N,20151104,2
B20140608WKD_N,20151105,2
B20140608WKD_N,20151106,2
B20140608WKD_N,20151109,2
B20140608WKD_N,20151110,2
B20140608WKD_N,20151111,2
B20140608WKD_N,20151112,2
B20140608WKD_N,20151113,2
B20140608WKD_N,20151116,2
B20140608WKD_N,20151117,2
B20140608WKD_N,20151118,2
B20140608WKD_N,20151119,2
B20140608WKD_N,20151120,2
B20140608WKD_N,20151123,2
B20140608WKD_N,20151124,2
B20140608WKD_N,20151125,2
B20140608WKD_N,20151126,2
B20140608WKD_N,20151127,2
B20140608WKD_N,20151130,2
B20140608WKD_N,20151201,2
B20140608WKD_N,20151202,2
B20140608WKD_N,20151203,2
B20140608WKD_N,20151204,2
B20140608WKD_N,20151207,2
B20140608WKD_N,20151208,2
B20140608WKD_N,20151209,2
B20140608WKD_N,20151210,2
B20140608WKD_N,20151211,2
B20140608WKD_N,20151214,2
B20140608WKD_N,20151215,2
B20140608WKD_N,20151216,2
B20140608WKD_N,20151217,2
B20140608WKD_N,20151218,2
B20140608WKD_N,20151221,2
B20140608WKD_N,20151222,2
B20140608WKD_N,20151223,2
B20140608WKD_N,20151224,2
B20140608WKD_N,20151225,2
B20140608WKD_N,20151228,2
B20140608WKD_N,20151229,2
B20140608WKD_N,20151230,2
B20140608WKD_N,20151231,2
R20140615SAT,20140704,1
R20140615SUN,20140901,1
