     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,11/15/2014-11/21/2014,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R069,NEW LOTS AVENUE               ,00011597,00000590,00000164,00000250,00000001,00012391,00006027,00000000,00000000,00000000,00000028,00000047,00000371,00000000,00000571,00000013,00000025,00000000,00000038,00000000,00000000,00000000,00003446,                                                                                                                               
R070,ST GEORGE TERMINAL            ,00031811,00001476,00000037,00000334,00000015,00004466,00007950,00000000,00000000,00000000,00000288,00001366,00000106,00000000,00000760,00001268,00000061,00000000,00000045,00000000,00000000,00000000,00003740,                                                                                                                               
R079,FIFTH AVENUE & 60TH STREET    ,00051143,00002684,00000154,00000493,00000254,00018027,00031723,00000000,00000000,00000000,00000371,00001000,00000398,00000400,00003242,00001257,00000528,00000000,00000597,00000000,00000000,00000000,00000649,                                                                                                                               
R080,57TH STREET & 7TH AVENUE      ,00071098,00005650,00000293,00001099,00000235,00026583,00056939,00000000,00000000,00000000,00000308,00001180,00000757,00000328,00005213,00001696,00000858,00000000,00000905,00000000,00000000,00000000,00002126,                                                                                                                               
R081,49TH STREET & 7TH AVENUE      ,00064738,00002948,00000209,00000684,00000106,00025274,00047287,00000000,00000000,00000000,00000342,00001301,00000443,00000149,00004243,00001548,00000781,00000000,00001008,00000000,00000000,00000000,00002385,                                                                                                                               
R082,28TH STREET & BROADWAY        ,00031309,00001312,00000126,00000360,00000053,00013393,00027018,00000000,00000000,00000000,00000097,00000463,00000340,00000045,00001478,00000608,00000467,00000000,00000470,00000000,00000000,00000000,00000512,                                                                                                                               
R083,23RD STREET & 5TH AVENUE      ,00060208,00002603,00000152,00000573,00000229,00021231,00052882,00000000,00000000,00000000,00000549,00001056,00000272,00000221,00003291,00001396,00000787,00000000,00000796,00000000,00000000,00000000,00001924,                                                                                                                               
R084,59TH STREET/COLUMBUS CIRCLE   ,00195550,00013127,00000791,00002679,00001017,00079037,00143513,00000000,00000000,00000000,00000580,00002304,00001908,00001230,00009088,00004260,00002112,00000000,00002917,00000000,00000000,00000000,00017710,                                                                                                                               
R085,8TH STREET & BROADWAY         ,00046256,00002902,00000126,00000472,00000102,00015131,00042322,00000000,00000000,00000000,00000211,00000652,00000279,00000202,00002244,00001040,00000609,00000000,00000775,00000000,00000000,00000000,00001500,                                                                                                                               
R086,PRINCE STREET & BROADWAY      ,00043145,00001323,00000090,00000250,00000098,00018156,00032714,00000001,00000000,00000000,00000152,00000390,00000210,00000104,00001634,00000755,00000504,00000000,00000796,00000000,00000000,00000000,00000854,                                                                                                                               
R087,CITY HALL                     ,00013038,00000935,00000043,00000187,00000016,00004005,00010167,00000000,00000000,00000000,00000145,00000316,00000177,00000030,00000453,00000293,00000169,00000000,00000128,00000000,00000000,00000000,00000876,                                                                                                                               
R088,CORTLANDT STREET              ,00021297,00000649,00000026,00000109,00000027,00007544,00008706,00000000,00000000,00000000,00000128,00000346,00000180,00000026,00000633,00000354,00000153,00000000,00000444,00000000,00000000,00000000,00000229,                                                                                                                               
R089,JAY ST-METROTECH              ,00008120,00000441,00000037,00000091,00000013,00002183,00007017,00000000,00000000,00000000,00000047,00000131,00000099,00000026,00000286,00000191,00000128,00000000,00000085,00000000,00000000,00000000,00000729,                                                                                                                               
R090,39TH AVENUE & 31ST STREET     ,00007524,00000361,00000050,00000104,00000007,00005649,00004705,00000000,00000000,00000000,00000027,00000055,00000133,00000001,00000275,00000086,00000063,00000000,00000155,00000000,00000000,00000000,00000371,                                                                                                                               
R091,36TH AVENUE & 31ST STREET     ,00015445,00000846,00000073,00000221,00000009,00008787,00017463,00000000,00000000,00000000,00000019,00000143,00000339,00000020,00000920,00000126,00000274,00000000,00000142,00000000,00000000,00000000,00002408,                                                                                                                               
R092,BROADWAY & 31ST STREET        ,00026201,00001689,00000144,00000445,00000005,00012741,00035215,00000000,00000000,00000000,00000029,00000274,00000572,00000028,00002357,00000412,00000645,00000000,00000310,00000000,00000000,00000000,00004068,                                                                                                                               
R093,30TH AVENUE & 31ST STREET     ,00030026,00001531,00000150,00000428,00000019,00015633,00036951,00000000,00000000,00000000,00000043,00000295,00000599,00000018,00002424,00000403,00000557,00000000,00000314,00000000,00000000,00000000,00002506,                                                                                                                               
R094,ASTORIA BLVD & 31ST STREET    ,00025588,00001007,00000092,00000271,00000018,00013091,00028412,00000000,00000000,00000000,00000033,00000357,00000431,00000024,00001981,00000309,00000361,00000000,00000215,00000000,00000000,00000000,00001744,                                                                                                                               
R095,DITMARS BLVD & 31ST STREET    ,00035857,00001873,00000160,00000329,00000030,00015262,00040744,00000000,00000000,00000000,00000027,00000527,00000927,00000027,00002537,00000551,00000573,00000000,00000272,00000000,00000000,00000000,00004629,                                                                                                                               
R096,82ND STREET-JACKSON HEIGHTS   ,00034793,00002902,00000421,00000652,00000009,00026649,00023535,00000000,00000000,00000000,00000029,00000212,00000819,00000033,00001123,00000154,00000148,00000000,00000284,00000000,00000000,00000000,00005121,                                                                                                                               
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00055334,00001535,00000213,00000479,00000014,00040595,00022859,00000000,00000000,00000000,00000017,00000178,00000724,00000011,00001007,00000067,00000195,00000000,00000299,00000000,00000000,00000000,00007169,                                                                                                                               
R098,CHURCH AVENUE                 ,00034705,00002187,00000407,00000922,00000010,00028924,00030612,00000000,00000000,00000000,00000025,00000257,00000679,00000021,00002301,00000175,00000415,00000000,00000277,00000000,00000000,00000000,00007167,                                                                                                                               
R099,DEKALB AVENUE                 ,00034764,00002074,00000210,00000892,00000071,00017022,00034244,00000000,00000000,00000000,00000067,00000516,00000414,00000085,00002076,00000598,00000439,00000000,00000421,00000000,00000000,00000000,00012088,                                                                                                                               
R100,METROPOLITAN AVENUE           ,00008627,00000395,00000039,00000162,00000001,00004935,00005127,00000000,00000000,00000000,00000005,00000136,00000222,00000000,00000318,00000142,00000033,00000000,00000023,00000000,00000000,00000000,00001709,                                                                                                                               
R101,145TH STREET                  ,00044359,00001962,00000409,00000950,00000033,00043866,00051263,00000000,00000000,00000000,00000061,00000263,00000687,00000033,00002906,00000351,00000638,00000000,00000458,00000000,00000000,00000000,00007661,                                                                                                                               
R102,125TH STREET                  ,00053454,00003311,00000687,00001486,00000061,00048595,00050913,00000000,00000000,00000000,00000098,00000365,00001373,00000084,00003560,00000521,00000489,00000000,00000661,00000000,00000000,00000000,00009604,                                                                                                                               
R103,BROADWAY-EAST NEW YORK        ,00016453,00000770,00000292,00000456,00000003,00017304,00009005,00000000,00000000,00000000,00000020,00000071,00000554,00000007,00000613,00000038,00000041,00000000,00000099,00000000,00000000,00000000,00003974,                                                                                                                               
R104,167TH ST-GRAND CONCOURSE      ,00017579,00000852,00000178,00000238,00000002,00020438,00010455,00000000,00000000,00000000,00000007,00000090,00000407,00000007,00001075,00000040,00000054,00000000,00000084,00000000,00000000,00000000,00004044,                                                                                                                               
R105,14TH STREET & 7TH AVENUE      ,00060140,00005491,00000380,00001288,00000199,00026680,00048255,00000000,00000000,00000000,00000190,00000886,00000662,00000265,00003517,00001298,00000727,00000000,00000911,00000000,00000000,00000000,00003500,                                                                                                                               
